battle_context,battle_id,battle_state,classification,duplicate_of,retained_source_file,source_file,source_sha256,visibility_scope_complete
field,battle_j19,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 23436 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 18_48_50.png,Mount and Blade II Bannerlord - Singleplayer PID_ 23436 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 18_48_50.png,955e026f068ab8b55a9b5f3840aaad94c3bc376f09bc7132f4a96ac82d4eaaf9,False
field,battle_j16,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 9212 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 16_11_06.png,Mount and Blade II Bannerlord - Singleplayer PID_ 9212 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 16_11_06.png,396b5f68cba17d03e41d1ea9267f24bacceca734cbf8b9b330aadd0bb3de5891,False
,,,excluded_non_evidence,,,Screenshot 01_09_2026 16_18_30.png,0f4b0c7b102f7f9eab8a901ff614f820a3678078ae9a96dbf9b825c5d747e731,
,,,excluded_non_evidence,,,Screenshot 01_09_2026 16_18_57 (1).png,e040ccf386653d051893bf56445d26a14bd1db53d1f3f916fa85d1e2771e81ac,
,,,excluded_non_evidence,,,Screenshot 01_09_2026 16_18_57 (2).png,dbe56e546962a0d366678d7bd67576e319e648383fe31bbcc6de728dcf291b2c,
,,,excluded_non_evidence,,,Screenshot 01_09_2026 16_18_57 (3).png,37067d6c352b128db9b734b6f45df76b821da9a4db7f15baa0fbb72ffe923456,
,,,excluded_non_evidence,,,Screenshot 01_09_2026 16_18_57.png,890f84fd320ebdba081762d3c9710b1b15d61f6e0d136918cad4feb1c4e7c60d,
,,,excluded_non_evidence,,,Screenshot 02_09_2026 16_58_22.png,9f6685c75cd0b36918fcc06403cc0fc7351d71080328b523e5979d4ddc506cbd,
field,battle_wh01,final,new_representative,,Steam #U2014 Modo Big Picture 29_08_2026 01_55_59.png,Steam #U2014 Modo Big Picture 29_08_2026 01_55_59.png,cd56c0ef4fe2471d70be23e7b89f0775cff8c16628765fa50981b2e180a560e7,False
,,,excluded_non_evidence,,,Vortex 05_09_2026 16_00_43.png,335a95707c5ffd2d9450d4991d18a06474c8a08865c90f8c85827b0d42896f69,
