observation_id,battle_id,captured_at,track,game_version,context,result_scope,cohort,participant_scope,troop_name,tier,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,visibility,source_image_sha256,note,survivors,kills,upgrade_ready,deaths,wounded,routed,deployed
rot_2026_09_13_215051_egon_astapor_active_siege__party_01__row_007,rot_2026_09_13_215051_egon_astapor_active_siege,2026-09-13T21:50:51-03:00,realm_of_thrones,unknown,siege_attack,active_censored,Egon Emeros' Party,player_party,Qartheen Pureborn Champion,5,Qartheen Pureborn Champion [T5],qartheen_champion,confirmed_id,Ranged,ranged,full,083baf53ffa11d69c79b5535547ebef476bffcf5ae89ac5700b29ed25d70eeda,,1,4,1,1,0,0,2
rot_2026_09_13_215051_egon_astapor_active_siege__party_01__row_008,rot_2026_09_13_215051_egon_astapor_active_siege,2026-09-13T21:50:51-03:00,realm_of_thrones,unknown,siege_attack,active_censored,Egon Emeros' Party,player_party,Qarthene Veteran Archer,4,Qarthene Veteran Archer [T4],qartheen_elite_archer,confirmed_id,Ranged,ranged,full,083baf53ffa11d69c79b5535547ebef476bffcf5ae89ac5700b29ed25d70eeda,,1,4,1,0,0,0,1
rot_2026_09_13_215051_egon_astapor_active_siege__party_01__row_009,rot_2026_09_13_215051_egon_astapor_active_siege,2026-09-13T21:50:51-03:00,realm_of_thrones,unknown,siege_attack,active_censored,Egon Emeros' Party,player_party,Ghiscari Lockstep Legionnaire,6,Ghiscari Lockstep Legionnaire [T6],ghiscari_unsullied_unbroken,confirmed_id,Infantry,frontline_infantry,full,083baf53ffa11d69c79b5535547ebef476bffcf5ae89ac5700b29ed25d70eeda,,0,3,0,0,1,0,1
rot_2026_09_13_215051_egon_astapor_active_siege__party_01__row_010,rot_2026_09_13_215051_egon_astapor_active_siege,2026-09-13T21:50:51-03:00,realm_of_thrones,unknown,siege_attack,active_censored,Egon Emeros' Party,player_party,Qartheen Hoplite,4,Qartheen Hoplite [T4],qartheen_hoplite,confirmed_id,Infantry,frontline_infantry,full,083baf53ffa11d69c79b5535547ebef476bffcf5ae89ac5700b29ed25d70eeda,,2,3,0,0,1,0,3
rot_2026_09_13_220607_egon_yunkai_retreat_keep__party_01__row_001,rot_2026_09_13_220607_egon_yunkai_retreat_keep,2026-09-13T22:06:07-03:00,realm_of_thrones,unknown,siege_attack,completed,Egon Emeros' Party,player_party,Unsullied,6,Unsullied [T6],unsullied,confirmed_id,Infantry,frontline_infantry,full,e06d0a6d619fe8cf0277c89e76b8a154b90ffadd07aecc45927ef36fa39401b0,,89,96,0,3,8,0,100
rot_2026_09_13_220607_egon_yunkai_retreat_keep__party_01__row_002,rot_2026_09_13_220607_egon_yunkai_retreat_keep,2026-09-13T22:06:07-03:00,realm_of_thrones,unknown,siege_attack,completed,Egon Emeros' Party,player_party,Qartheen Enthroned Guardian,6,Qartheen Enthroned Guardian [T6],enthroned_guardian,confirmed_id,Ranged,ranged,full,e06d0a6d619fe8cf0277c89e76b8a154b90ffadd07aecc45927ef36fa39401b0,,22,82,0,0,0,0,22
rot_2026_09_13_220607_egon_yunkai_retreat_keep__party_01__row_003,rot_2026_09_13_220607_egon_yunkai_retreat_keep,2026-09-13T22:06:07-03:00,realm_of_thrones,unknown,siege_attack,completed,Egon Emeros' Party,player_party,Qartheen Longbowman,5,Qartheen Longbowman [T5],qartheen_longbowman,confirmed_id,Ranged,ranged,full,e06d0a6d619fe8cf0277c89e76b8a154b90ffadd07aecc45927ef36fa39401b0,,18,68,0,0,0,0,18
rot_2026_09_13_220607_egon_yunkai_retreat_keep__party_01__row_008,rot_2026_09_13_220607_egon_yunkai_retreat_keep,2026-09-13T22:06:07-03:00,realm_of_thrones,unknown,siege_attack,completed,Egon Emeros' Party,player_party,Ghiscari Lockstep Legionnaire,6,Ghiscari Lockstep Legionnaire [T6],ghiscari_unsullied_unbroken,confirmed_id,Infantry,frontline_infantry,full,e06d0a6d619fe8cf0277c89e76b8a154b90ffadd07aecc45927ef36fa39401b0,,1,2,0,0,0,0,1
rot_2026_09_13_220607_egon_yunkai_retreat_keep__party_02__row_001,rot_2026_09_13_220607_egon_yunkai_retreat_keep,2026-09-13T22:06:07-03:00,realm_of_thrones,unknown,siege_attack,completed,Rhoella Qar Deeth's Party,allied_party,Qartheen Pureborn Champion,5,Qartheen Pureborn Champion [T5],qartheen_champion,confirmed_id,Ranged,ranged,partial,e06d0a6d619fe8cf0277c89e76b8a154b90ffadd07aecc45927ef36fa39401b0,"Bottom row clipped; only survivors, kills, and upgrade-ready are legible.",2,6,2,,,,
rot_2026_09_13_224912_egon_black_rat_victory_field__party_01__row_001,rot_2026_09_13_224912_egon_black_rat_victory_field,2026-09-13T22:49:12-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Unsullied,6,Unsullied [T6],unsullied,confirmed_id,Infantry,frontline_infantry,full,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194,,91,99,0,0,6,0,97
rot_2026_09_13_224912_egon_black_rat_victory_field__party_01__row_002,rot_2026_09_13_224912_egon_black_rat_victory_field,2026-09-13T22:49:12-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Qartheen Enthroned Guardian,6,Qartheen Enthroned Guardian [T6],enthroned_guardian,confirmed_id,Ranged,ranged,full,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194,,26,78,0,0,1,0,27
rot_2026_09_13_224912_egon_black_rat_victory_field__party_01__row_003,rot_2026_09_13_224912_egon_black_rat_victory_field,2026-09-13T22:49:12-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Qartheen Longbowman,5,Qartheen Longbowman [T5],qartheen_longbowman,confirmed_id,Ranged,ranged,full,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194,,38,70,0,0,0,0,38
rot_2026_09_13_224912_egon_black_rat_victory_field__party_01__row_005,rot_2026_09_13_224912_egon_black_rat_victory_field,2026-09-13T22:49:12-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Qartheen Pureborn Champion,5,Qartheen Pureborn Champion [T5],qartheen_champion,confirmed_id,Ranged,ranged,full,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194,,5,13,5,0,0,0,5
rot_2026_09_13_224912_egon_black_rat_victory_field__party_01__row_008,rot_2026_09_13_224912_egon_black_rat_victory_field,2026-09-13T22:49:12-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Ghiscari Lockstep Legionnaire,6,Ghiscari Lockstep Legionnaire [T6],ghiscari_unsullied_unbroken,confirmed_id,Infantry,frontline_infantry,full,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194,,2,3,0,0,0,0,2
