track,game_version,cohort,context,participant_scope,result_scope,efficiency_rank,impact_rank,display_name,troop_name,tier,canonical_troop_id,identity_status,canonical_default_group,canonical_role,evidence_grade,reliable_role_population,role_adjusted_rank_status,independent_battles,complete_numeric_battles,ordinary_occurrences,complete_numeric_occurrences,deployed,survivors,kills,deaths,wounded,routed,known_deployed_from_complete_occurrences,known_kills,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,final_victory_battles,outside_stage_success_battles,active_censored_battles,numeric_display_gate_passed,identity_gate_passed,reliability_status,more_battles_needed,more_deployed_needed,missing_numeric_fields
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,4,3,Unsullied [T6],Unsullied,6,unsullied,confirmed_id,Infantry,frontline_infantry,high,1,not_published_current_methodology_keeps_offense_and_defense_independent,6,6,6,6,517,488,372,6,23,0,517,372,0.719536,0.601179,0.843352,2266,6,true,0.164166,0.118123,2719,6,true,0.190143,0.863379,-0.025978,0.943907,0.011605,0.056093,3,3,0,true,true,reliable,0,0,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Dothraki Archer [T4],Dothraki Archer,4,,unresolved_provisional_label,,,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,14,13,5,0,1,0,14,5,,,,214,1,true,,,395,1,true,,,,,,,1,0,0,false,false,insufficient_battles,4,6,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Dothraki Barbarian [T5],Dothraki Barbarian,5,,unresolved_provisional_label,,,low,0,not_published_current_methodology_keeps_offense_and_defense_independent,2,2,2,2,45,45,36,0,0,0,45,36,,,,748,2,true,,,650,2,true,,,,,,,1,1,0,false,false,insufficient_battles,3,0,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Dothraki Bowlord [T5],Dothraki Bowlord,5,,unresolved_provisional_label,,,low,0,not_published_current_methodology_keeps_offense_and_defense_independent,2,2,2,2,16,15,18,1,0,0,16,18,,,,573,2,true,,,738,2,true,,,,,,,2,0,0,false,false,insufficient_battles,3,4,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Dothraki Horse Archer [T4],Dothraki Horse Archer,4,,unresolved_provisional_label,,,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,1,1,2,0,0,0,1,2,,,,359,1,true,,,343,1,true,,,,,,,1,0,0,false,false,insufficient_battles,4,19,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Dothraki Savage [T4],Dothraki Savage,4,,unresolved_provisional_label,,,low,0,not_published_current_methodology_keeps_offense_and_defense_independent,3,3,3,3,18,17,8,0,1,0,18,8,,,,1124,3,true,,,991,3,true,,,,,,,1,2,0,false,false,insufficient_battles,2,2,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Dothraki Warrior [T3],Dothraki Warrior,3,,unresolved_provisional_label,,,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,1,1,1,0,0,0,1,1,,,,359,1,true,,,343,1,true,,,,,,,1,0,0,false,false,insufficient_battles,4,19,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Forest Bandit [T4],Forest Bandit,4,,unresolved_provisional_label,,,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,2,2,3,0,0,0,2,3,,,,376,1,true,,,341,1,true,,,,,,,0,1,0,false,false,insufficient_battles,4,18,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Ghiscari Lockstep Legionnaire [T6],Ghiscari Lockstep Legionnaire,6,ghiscari_unsullied_unbroken,confirmed_id,Infantry,frontline_infantry,exploratory,1,not_published_current_methodology_keeps_offense_and_defense_independent,4,4,4,4,6,6,8,0,0,0,6,8,,,,1693,4,true,,,1981,4,true,,,,,,,1,3,0,false,true,insufficient_battles,1,14,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Ghiscari Soldier [T4],Ghiscari Soldier,4,ghiscari_soldier,confirmed_id,Infantry,frontline_infantry,exploratory,1,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,16,16,9,0,0,0,16,9,,,,376,1,true,,,341,1,true,,,,,,,0,1,0,false,true,insufficient_battles,4,4,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Lengii Mounted Slayer [T4],Lengii Mounted Slayer,4,,unresolved_provisional_label,,,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,3,3,14,0,0,0,3,14,,,,376,1,true,,,341,1,true,,,,,,,0,1,0,false,false,insufficient_battles,4,17,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Norvoshi Spearman [T4],Norvoshi Spearman,4,norvos_spearman,confirmed_id,Infantry,frontline_infantry,exploratory,1,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,1,1,3,0,0,0,1,3,,,,376,1,true,,,341,1,true,,,,,,,0,1,0,false,true,insufficient_battles,4,19,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Qartheen Archer [T3],Qartheen Archer,3,qartheen_archer,confirmed_id,Ranged,ranged,exploratory,2,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,12,12,18,0,0,0,12,18,,,,389,1,true,,,307,1,true,,,,,,,0,1,0,false,true,insufficient_battles,4,8,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Qartheen Elite Hoplite [T5],Qartheen Elite Hoplite,5,qartheen_elite_hoplite,confirmed_id,Infantry,frontline_infantry,low,1,not_published_current_methodology_keeps_offense_and_defense_independent,2,2,2,2,25,23,5,1,1,0,25,5,,,,573,2,true,,,738,2,true,,,,,,,2,0,0,false,true,insufficient_battles,3,0,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Qartheen Pureborn Champion [T5],Qartheen Pureborn Champion,5,qartheen_champion,confirmed_id,Ranged,ranged,exploratory,2,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,5,5,9,0,0,0,5,9,,,,376,1,true,,,341,1,true,,,,,,,0,1,0,false,true,insufficient_battles,4,15,
realm_of_thrones,unknown,Egon Emeros' Party,siege_attack,player_party,completed,,,Qarthene Veteran Archer [T4],Qarthene Veteran Archer,4,qartheen_elite_archer,confirmed_id,Ranged,ranged,low,2,not_published_current_methodology_keeps_offense_and_defense_independent,3,3,3,3,15,15,10,0,0,0,15,10,,,,962,3,true,,,1045,3,true,,,,,,,2,1,0,false,true,insufficient_battles,2,5,
